Date,site,pH
5/17/2024 10:50,70.2 Trestle,8.15
5/17/2024 11:00,70.2 Trestle,8.29
5/17/2024 11:10,70.2 Trestle,8.38
5/17/2024 11:20,70.2 Trestle,8.47
5/17/2024 11:30,Saysells,7.25
5/17/2024 11:30,70.2 Trestle,8.55
5/17/2024 11:40,Saysells,7.28
5/17/2024 11:40,70.2 Trestle,8.61
5/17/2024 11:50,Saysells,7.3
5/17/2024 11:50,70.2 Trestle,8.69
5/17/2024 12:00,Saysells,7.31
5/17/2024 12:00,70.2 Trestle,8.73
5/17/2024 12:10,Saysells,7.31
5/17/2024 12:10,70.2 Trestle,8.75
5/17/2024 12:20,Saysells,7.31
5/17/2024 12:20,70.2 Trestle,8.77
5/17/2024 12:30,Saysells,7.33
5/17/2024 12:30,70.2 Trestle,8.84
5/17/2024 12:40,Saysells,7.34
5/17/2024 12:40,70.2 Trestle,8.9
5/17/2024 12:50,Saysells,7.33
5/17/2024 12:50,70.2 Trestle,8.93
5/17/2024 13:00,Saysells,7.35
5/17/2024 13:00,70.2 Trestle,8.95
5/17/2024 13:10,Saysells,7.34
5/17/2024 13:10,70.2 Trestle,8.95
5/17/2024 13:20,Saysells,7.36
5/17/2024 13:20,70.2 Trestle,8.94
5/17/2024 13:20,HSB,8.23
5/17/2024 13:30,Saysells,7.36
5/17/2024 13:30,70.2 Trestle,8.94
5/17/2024 13:30,HSB,8.36
5/17/2024 13:40,Saysells,7.34
5/17/2024 13:40,70.2 Trestle,8.94
5/17/2024 13:40,HSB,8.45
5/17/2024 13:50,Saysells,7.36
5/17/2024 13:50,70.2 Trestle,9.01
5/17/2024 13:50,HSB,8.52
5/17/2024 14:00,Saysells,7.38
5/17/2024 14:00,70.2 Trestle,9.04
5/17/2024 14:00,HSB,8.59
5/17/2024 14:10,Saysells,7.38
5/17/2024 14:10,70.2 Trestle,9.09
5/17/2024 14:10,HSB,8.63
5/17/2024 14:20,Saysells,7.38
5/17/2024 14:20,70.2 Trestle,9.12
5/17/2024 14:20,HSB,8.69
5/17/2024 14:30,Saysells,7.38
5/17/2024 14:30,70.2 Trestle,9.12
5/17/2024 14:30,HSB,8.7
5/17/2024 14:40,Saysells,7.37
5/17/2024 14:40,70.2 Trestle,9.13
5/17/2024 14:40,HSB,8.74
5/17/2024 14:50,Saysells,7.38
5/17/2024 14:50,70.2 Trestle,9.16
5/17/2024 14:50,HSB,8.76
5/17/2024 15:00,Saysells,7.37
5/17/2024 15:00,70.2 Trestle,9.18
5/17/2024 15:00,HSB,8.77
5/17/2024 15:10,Saysells,7.4
5/17/2024 15:10,70.2 Trestle,9.16
5/17/2024 15:10,HSB,8.79
5/17/2024 15:20,Saysells,7.4
5/17/2024 15:20,70.2 Trestle,9.17
5/17/2024 15:20,HSB,8.8
5/17/2024 15:30,Saysells,7.39
5/17/2024 15:30,70.2 Trestle,9.16
5/17/2024 15:30,HSB,8.84
5/17/2024 15:40,Saysells,7.39
5/17/2024 15:40,70.2 Trestle,9.18
5/17/2024 15:40,HSB,8.86
5/17/2024 15:50,Saysells,7.42
5/17/2024 15:50,70.2 Trestle,9.18
5/17/2024 15:50,HSB,8.9
5/17/2024 16:00,Saysells,7.41
5/17/2024 16:00,70.2 Trestle,9.17
5/17/2024 16:00,HSB,8.93
5/17/2024 16:10,Saysells,7.42
5/17/2024 16:10,70.2 Trestle,9.18
5/17/2024 16:10,HSB,8.96
5/17/2024 16:20,Saysells,7.4
5/17/2024 16:20,70.2 Trestle,9.16
5/17/2024 16:20,HSB,8.99
5/17/2024 16:30,Saysells,7.4
5/17/2024 16:30,70.2 Trestle,9.16
5/17/2024 16:30,HSB,9.01
5/17/2024 16:40,Saysells,7.41
5/17/2024 16:40,70.2 Trestle,9.14
5/17/2024 16:40,HSB,9.03
5/17/2024 16:50,Saysells,7.43
5/17/2024 16:50,70.2 Trestle,9.13
5/17/2024 16:50,HSB,9.06
5/17/2024 17:00,Saysells,7.42
5/17/2024 17:00,70.2 Trestle,9.11
5/17/2024 17:00,HSB,9.07
