Date,temp,site
8/9/2023 0:18,20.93,HSB
8/9/2023 0:28,20.888,HSB
8/9/2023 0:38,20.829,HSB
8/9/2023 0:48,20.787,HSB
8/9/2023 0:58,20.779,HSB
8/9/2023 1:08,20.729,HSB
8/9/2023 1:18,20.679,HSB
8/9/2023 1:28,20.628,HSB
8/9/2023 1:38,20.603,HSB
8/9/2023 1:48,20.578,HSB
8/9/2023 1:58,20.561,HSB
8/9/2023 2:08,20.503,HSB
8/9/2023 2:18,20.478,HSB
8/9/2023 2:28,20.436,HSB
8/9/2023 2:38,20.394,HSB
8/9/2023 2:48,20.369,HSB
8/9/2023 2:58,20.344,HSB
8/9/2023 3:08,20.302,HSB
8/9/2023 3:18,20.26,HSB
8/9/2023 3:28,20.243,HSB
8/9/2023 3:38,20.235,HSB
8/9/2023 3:48,20.193,HSB
8/9/2023 3:58,20.201,HSB
8/9/2023 4:08,20.176,HSB
8/9/2023 4:18,20.159,HSB
8/9/2023 4:28,20.101,HSB
8/9/2023 4:38,20.084,HSB
8/9/2023 4:48,20.067,HSB
8/9/2023 4:58,20.05,HSB
8/9/2023 5:08,20.025,HSB
8/9/2023 5:18,20,HSB
8/9/2023 5:28,19.95,HSB
8/9/2023 5:38,19.941,HSB
8/9/2023 5:48,19.925,HSB
8/9/2023 5:58,19.908,HSB
8/9/2023 6:08,19.891,HSB
8/9/2023 6:18,19.874,HSB
8/9/2023 6:28,19.858,HSB
8/9/2023 6:38,19.849,HSB
8/9/2023 6:48,19.841,HSB
8/9/2023 6:58,19.799,HSB
8/9/2023 7:08,19.757,HSB
8/9/2023 7:18,19.774,HSB
8/9/2023 7:28,19.749,HSB
8/9/2023 7:38,19.774,HSB
8/9/2023 7:48,19.732,HSB
8/9/2023 7:58,19.715,HSB
8/9/2023 8:08,19.723,HSB
8/9/2023 8:18,19.698,HSB
8/9/2023 8:28,19.698,HSB
8/9/2023 8:38,19.715,HSB
8/9/2023 8:48,19.681,HSB
8/9/2023 8:58,19.698,HSB
8/9/2023 9:08,19.749,HSB
8/9/2023 9:18,19.757,HSB
8/9/2023 9:28,19.774,HSB
8/9/2023 9:38,19.782,HSB
8/9/2023 9:48,19.841,HSB
8/9/2023 9:58,19.874,HSB
8/9/2023 10:08,19.899,HSB
8/9/2023 10:18,19.933,HSB
8/9/2023 10:28,19.95,HSB
8/9/2023 10:38,20.008,HSB
8/9/2023 10:48,20.075,HSB
8/9/2023 10:58,20.092,HSB
8/9/2023 11:08,20.176,HSB
8/9/2023 11:18,20.293,HSB
8/9/2023 11:28,20.31,HSB
8/9/2023 11:38,20.369,HSB
8/9/2023 11:48,20.394,HSB
8/9/2023 11:58,20.452,HSB
8/9/2023 12:08,20.561,HSB
8/9/2023 12:18,20.561,HSB
8/9/2023 12:28,20.586,HSB
8/9/2023 12:38,20.737,HSB
8/9/2023 12:48,20.812,HSB
8/9/2023 12:58,20.787,HSB
8/9/2023 13:08,20.938,HSB
8/9/2023 13:18,21.164,HSB
8/9/2023 13:28,21.064,HSB
8/9/2023 13:38,21.13,HSB
8/9/2023 13:48,21.248,HSB
8/9/2023 13:58,21.365,HSB
8/9/2023 14:08,21.348,HSB
8/9/2023 14:18,21.273,HSB
8/9/2023 14:28,21.298,HSB
8/9/2023 14:38,21.457,HSB
8/9/2023 14:48,21.699,HSB
8/9/2023 14:58,21.741,HSB
8/9/2023 15:08,21.825,HSB
8/9/2023 15:18,21.816,HSB
8/9/2023 15:28,21.984,HSB
8/9/2023 15:38,22.009,HSB
8/9/2023 15:48,22.009,HSB
8/9/2023 15:58,22.051,HSB
8/9/2023 16:08,22.051,HSB
8/9/2023 16:18,22.076,HSB
8/9/2023 16:28,22.093,HSB
8/9/2023 16:38,22.059,HSB
8/9/2023 16:48,22.059,HSB
8/9/2023 16:58,22.101,HSB
8/9/2023 17:08,22.042,HSB
8/9/2023 17:18,22.051,HSB
8/9/2023 17:28,22.093,HSB
8/9/2023 17:38,22.067,HSB
8/9/2023 17:48,22.076,HSB
8/9/2023 17:58,22.051,HSB
8/9/2023 18:08,22.034,HSB
8/9/2023 18:18,22.042,HSB
8/9/2023 18:28,22.042,HSB
8/9/2023 18:38,22.026,HSB
8/9/2023 18:48,22.026,HSB
8/9/2023 18:58,22.017,HSB
8/9/2023 19:08,22.001,HSB
8/9/2023 19:18,21.975,HSB
8/9/2023 19:28,21.984,HSB
8/9/2023 19:38,21.975,HSB
8/9/2023 19:48,21.934,HSB
8/9/2023 19:58,21.908,HSB
8/9/2023 20:08,21.883,HSB
8/9/2023 20:18,21.858,HSB
8/9/2023 20:28,21.8,HSB
8/9/2023 20:38,21.75,HSB
8/9/2023 20:48,21.666,HSB
8/9/2023 20:58,21.649,HSB
8/9/2023 21:08,21.591,HSB
8/9/2023 21:18,21.524,HSB
8/9/2023 21:28,21.499,HSB
8/9/2023 21:38,21.448,HSB
8/9/2023 21:48,21.39,HSB
8/9/2023 21:58,21.348,HSB
8/9/2023 22:08,21.256,HSB
